	cluster
BMCP-1__P02__Diagnosis	U1
B Memory-2__AML-23	U1
Plasma Cell__hashtag3-SRR16208959	U1
MEP-2__hashtag3-SRR16208966	U1
MPP-MEP__562_AfInv16_25F	U1
MEP-1__869586__Relapse	U1
MPP-MEP__hashtag3-SRR16208959	U1
MEP-1__P10__Diagnosis	U1
MEP-Eryth-2__hashtag3-SRR16208959	U1
Erythroblast-3__AML048	U1
MEP-2__869586__Relapse	U1
MEP-1__AML048	U1
MEP-Eryth-1__869586__Relapse	U1
MEP-Eryth-2__AML048	U1
MEP-Eryth-2__869586__Relapse	U1
MEP-2__10DD-1009__Diagnosis	U1
MEP-Eryth-2__10DD-1009__Diagnosis	U1
Plasma Cell__AML048	U1
ERP-8__AML-22	U1
Classical-Mono__P10__Diagnosis	U1
Erythroblast-2__P11__Diagnosis	U1
T CD4 Naive-1__1076_AfInv16_51M	U1
MEP-1__P06__Diagnosis	U1
MPP-MEP__AML012	U1
Multilin-2__P03__Diagnosis	U1
Erythroblast-3__P04__Relapse	U1
MEP-1__868442__Diagnosis	U1
MEP-1__P04__Relapse	U1
MPP-MEP__hashtag5-SRR16208967	U1
MPP-1__hashtag5-SRR16208967	U1
MEP-2__hashtag5-SRR16208967	U1
MEP-2__P04__Relapse	U1
MEP-Eryth-1__P04__Relapse	U1
MEP-Eryth-2__P04__Relapse	U1
Multilin-1__P03__Diagnosis	U1
Classical-Mono__1009_AfInv16_29M	U1
MPP-MEP__868442__Diagnosis	U1
MPP-2__P03__Diagnosis	U1
MEP-Eryth-2__AML005	U1
MEP-2__AML005	U1
MEP-1__AML005	U1
MDP-3__P03__Diagnosis	U1
MEP-2__1009_AfInv16_29M	U1
MPP-MEP__1009_AfInv16_29M	U1
ERP-3__P05__Diagnosis	U1
Plasma Cell__hashtag5-SRR16208966	U1
ERP-6__P05__Diagnosis	U1
MPP-MEP__hashtag5-SRR16208966	U1
MPP-1__hashtag5-SRR16208966	U1
MEP-2__hashtag5-SRR16208966	U1
Erythroblast-3__AML005	U1
Erythroblast-1__AML005	U1
ERP-8__hashtag6-SRR16208965	U1
MPP-MEP__P04__Diagnosis	U1
Erythroblast-3__AML012	U1
LMPP-1-cycling__868442__Diagnosis	U1
LMPP-1-cycling__AML009	U1
T CD4 Naive-1__AML009	U1
Erythroblast-1__AML009	U1
MEP-2__hashtag6-SRR16208967	U1
MEP-2__P03__Relapse	U1
BMCP-1__AML0114	U1
MPP-MEP__P03__Relapse	U1
MEP-2__0018_Af_N1c	U1
ERP-2__AML0114	U1
MPP-MEP__AML008	U1
ERP-6__AML0114	U1
MEP-1__AML0114	U1
MEP-2__AML0114	U1
MEP-Eryth-1__AML0114	U1
MDP-2__P03__Diagnosis	U1
MEP-2__hashtag6-SRR16208966	U1
MEP-Eryth-2__AML0114	U1
MPP-MEP__AML0114	U1
MEP-Eryth-1__AML006	U1
LMPP-1-cycling__AML006	U1
MEP-2__0316_E_N1c	U1
Plasma Cell__P03__Relapse	U1
Plasma Cell__AML0114	U1
pDC__P03__Diagnosis	U1
Erythroblast-1__AML006	U1
ERP-5__AML006	U1
ERP-1__AML006	U1
BMCP-1__AML012	U1
MEP-2__hashtag6-SRR16208965	U1
LMPP-1__868442__Diagnosis	U1
MPP-MEP__AML006	U1
