	cluster
Myeloid intermediate 3__10DD-1051__Diagnosis	U17
pre-DC-3__10DD-1070__Treatment	U17
MPP-MEP__10DD-1051__Treatment	U17
Multilin-1__10DD-1051__Treatment	U17
pre-DC-3__332131__Diagnosis	U17
MultiLin-GMP-1__10DD-1009__Relapse	U17
MultiLin-GMP-2__869922__Diagnosis	U17
MEP-2__10DD-1009__Relapse	U17
pre-DC-3__508084__Relapse	U17
Multilin-2__508084__Relapse	U17
MultiLin-GMP-1__508084__Relapse	U17
MultiLin-GMP-3__10DD-1086__Diagnosis	U17
MPP-MEP__508084__Relapse	U17
MEP-2__508084__Relapse	U17
MDP-6__508084__Relapse	U17
MDP-1__508084__Relapse	U17
LMPP-2__508084__Relapse	U17
LMPP-1-cycling__508084__Relapse	U17
LMPP-1__508084__Relapse	U17
MEP-Eryth-2__10DD-1086__Diagnosis	U17
LMPP-1-cycling__10DD-1086__Diagnosis	U17
B Memory-1__916462__Diagnosis	U17
LMPP-1__10DD-1086__Diagnosis	U17
cDC1__869922__Diagnosis	U17
immNeu-2__P13__Diagnosis	U17
Myeloid intermediate 2__869922__Diagnosis	U17
MPP-MEP__10DD-1085__Diagnosis	U17
Multilin-2__10DD-1003__Diagnosis	U17
Multilin-1__869922__Diagnosis	U17
Intermediate Mono-1__AML-19-R2	U17
LMPP-1-cycling__10DD-1009__Diagnosis	U17
MultiLin-GMP-1__10DD-1009__Diagnosis	U17
pre-DC-2__10DD-1070__Treatment	U17
Mono-1__869922__Diagnosis	U17
MPP-MEP__869922__Diagnosis	U17
MDP-2__869922__Diagnosis	U17
LMPP-1-cycling__10DD-1009__Relapse	U17
MPP-MEP__10DD-1009__Relapse	U17
pre-DC-1__10DD-1070__Treatment	U17
